tab_code,表章項目,cat01_code,2020年基準品目,area_code,地域（2020年基準）,time_code,時間軸（年・月）,unit,value,annotation,standardized_area_en,is_general_index,clean_value
1,指数,1,0001 総合,13A01,13100 東京都区部,2025001212,2025年12月,,111.9,,Tokyo,1,111.9
1,指数,1,0001 総合,13A01,13100 東京都区部,2025001111,2025年11月,,112.2,,Tokyo,1,112.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2025001010,2025年10月,,111.8,,Tokyo,1,111.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000909,2025年9月,,110.7,,Tokyo,1,110.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000808,2025年8月,,111.2,,Tokyo,1,111.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000707,2025年7月,,111.0,,Tokyo,1,111.0
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000606,2025年6月,,110.8,,Tokyo,1,110.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000505,2025年5月,,111.1,,Tokyo,1,111.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000404,2025年4月,,110.7,,Tokyo,1,110.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000303,2025年3月,,110.2,,Tokyo,1,110.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000202,2025年2月,,109.7,,Tokyo,1,109.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000101,2025年1月,,110.2,,Tokyo,1,110.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2025000000,2025年,,111.0,,Tokyo,1,111.0
1,指数,1,0001 総合,13A01,13100 東京都区部,2024100000,2024年度,,108.7,,Tokyo,1,108.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2024001212,2024年12月,,109.8,,Tokyo,1,109.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2024001111,2024年11月,,109.2,,Tokyo,1,109.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2024001010,2024年10月,,108.8,,Tokyo,1,108.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000909,2024年9月,,108.1,,Tokyo,1,108.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000808,2024年8月,,108.4,,Tokyo,1,108.4
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000707,2024年7月,,107.8,,Tokyo,1,107.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000606,2024年6月,,107.5,,Tokyo,1,107.5
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000505,2024年5月,,107.4,,Tokyo,1,107.4
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000404,2024年4月,,107.0,,Tokyo,1,107.0
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000303,2024年3月,,107.1,,Tokyo,1,107.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000202,2024年2月,,106.7,,Tokyo,1,106.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000101,2024年1月,,106.6,,Tokyo,1,106.6
1,指数,1,0001 総合,13A01,13100 東京都区部,2024000000,2024年,,107.9,,Tokyo,1,107.9
1,指数,1,0001 総合,13A01,13100 東京都区部,2023100000,2023年度,,106.0,,Tokyo,1,106.0
1,指数,1,0001 総合,13A01,13100 東京都区部,2023001212,2023年12月,,106.5,,Tokyo,1,106.5
1,指数,1,0001 総合,13A01,13100 東京都区部,2023001111,2023年11月,,106.5,,Tokyo,1,106.5
1,指数,1,0001 総合,13A01,13100 東京都区部,2023001010,2023年10月,,106.8,,Tokyo,1,106.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000909,2023年9月,,105.8,,Tokyo,1,105.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000808,2023年8月,,105.6,,Tokyo,1,105.6
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000707,2023年7月,,105.5,,Tokyo,1,105.5
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000606,2023年6月,,105.1,,Tokyo,1,105.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000505,2023年5月,,105.1,,Tokyo,1,105.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000404,2023年4月,,105.1,,Tokyo,1,105.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000303,2023年3月,,104.4,,Tokyo,1,104.4
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000202,2023年2月,,104.1,,Tokyo,1,104.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000101,2023年1月,,104.7,,Tokyo,1,104.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2023000000,2023年,,105.4,,Tokyo,1,105.4
1,指数,1,0001 総合,13A01,13100 東京都区部,2022100000,2022年度,,103.1,,Tokyo,1,103.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2022001212,2022年12月,,104.0,,Tokyo,1,104.0
1,指数,1,0001 総合,13A01,13100 東京都区部,2022001111,2022年11月,,103.8,,Tokyo,1,103.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2022001010,2022年10月,,103.5,,Tokyo,1,103.5
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000909,2022年9月,,102.9,,Tokyo,1,102.9
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000808,2022年8月,,102.7,,Tokyo,1,102.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000707,2022年7月,,102.3,,Tokyo,1,102.3
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000606,2022年6月,,101.8,,Tokyo,1,101.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000505,2022年5月,,101.9,,Tokyo,1,101.9
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000404,2022年4月,,101.5,,Tokyo,1,101.5
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000303,2022年3月,,101.1,,Tokyo,1,101.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000202,2022年2月,,100.7,,Tokyo,1,100.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000101,2022年1月,,100.3,,Tokyo,1,100.3
1,指数,1,0001 総合,13A01,13100 東京都区部,2022000000,2022年,,102.2,,Tokyo,1,102.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2021100000,2021年度,,100.0,,Tokyo,1,100.0
1,指数,1,0001 総合,13A01,13100 東京都区部,2021001212,2021年12月,,100.1,,Tokyo,1,100.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2021001111,2021年11月,,100.0,,Tokyo,1,100.0
1,指数,1,0001 総合,13A01,13100 東京都区部,2021001010,2021年10月,,99.9,,Tokyo,1,99.9
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000909,2021年9月,,100.1,,Tokyo,1,100.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000808,2021年8月,,99.8,,Tokyo,1,99.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000707,2021年7月,,99.8,,Tokyo,1,99.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000606,2021年6月,,99.5,,Tokyo,1,99.5
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000505,2021年5月,,99.5,,Tokyo,1,99.5
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000404,2021年4月,,99.1,,Tokyo,1,99.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000303,2021年3月,,99.8,,Tokyo,1,99.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000202,2021年2月,,99.8,,Tokyo,1,99.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000101,2021年1月,,99.7,,Tokyo,1,99.7
1,指数,1,0001 総合,13A01,13100 東京都区部,2021000000,2021年,,99.8,,Tokyo,1,99.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2020100000,2020年度,,99.9,,Tokyo,1,99.9
1,指数,1,0001 総合,13A01,13100 東京都区部,2020001212,2020年12月,,99.3,,Tokyo,1,99.3
1,指数,1,0001 総合,13A01,13100 東京都区部,2020001111,2020年11月,,99.6,,Tokyo,1,99.6
1,指数,1,0001 総合,13A01,13100 東京都区部,2020001010,2020年10月,,99.9,,Tokyo,1,99.9
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000909,2020年9月,,99.8,,Tokyo,1,99.8
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000808,2020年8月,,100.2,,Tokyo,1,100.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000707,2020年7月,,100.2,,Tokyo,1,100.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000606,2020年6月,,100.0,,Tokyo,1,100.0
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000505,2020年5月,,100.3,,Tokyo,1,100.3
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000404,2020年4月,,100.3,,Tokyo,1,100.3
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000303,2020年3月,,100.1,,Tokyo,1,100.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000202,2020年2月,,100.1,,Tokyo,1,100.1
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000101,2020年1月,,100.2,,Tokyo,1,100.2
1,指数,1,0001 総合,13A01,13100 東京都区部,2020000000,2020年,,100.0,,Tokyo,1,100.0
1,指数,1,0001 総合,00000,全国,2025001111,2025年11月,,113.2,,National/Region,1,113.2
1,指数,1,0001 総合,00000,全国,2025001010,2025年10月,,112.8,,National/Region,1,112.8
1,指数,1,0001 総合,00000,全国,2025000909,2025年9月,,112.0,,National/Region,1,112.0
1,指数,1,0001 総合,00000,全国,2025000808,2025年8月,,112.1,,National/Region,1,112.1
1,指数,1,0001 総合,00000,全国,2025000707,2025年7月,,111.9,,National/Region,1,111.9
1,指数,1,0001 総合,00000,全国,2025000606,2025年6月,,111.7,,National/Region,1,111.7
1,指数,1,0001 総合,00000,全国,2025000505,2025年5月,,111.8,,National/Region,1,111.8
1,指数,1,0001 総合,00000,全国,2025000404,2025年4月,,111.5,,National/Region,1,111.5
1,指数,1,0001 総合,00000,全国,2025000303,2025年3月,,111.1,,National/Region,1,111.1
1,指数,1,0001 総合,00000,全国,2025000202,2025年2月,,110.8,,National/Region,1,110.8
1,指数,1,0001 総合,00000,全国,2025000101,2025年1月,,111.2,,National/Region,1,111.2
1,指数,1,0001 総合,00000,全国,2024100000,2024年度,,109.5,,National/Region,1,109.5
1,指数,1,0001 総合,00000,全国,2024001212,2024年12月,,110.7,,National/Region,1,110.7
1,指数,1,0001 総合,00000,全国,2024001111,2024年11月,,110.0,,National/Region,1,110.0
1,指数,1,0001 総合,00000,全国,2024001010,2024年10月,,109.5,,National/Region,1,109.5
1,指数,1,0001 総合,00000,全国,2024000909,2024年9月,,108.9,,National/Region,1,108.9
1,指数,1,0001 総合,00000,全国,2024000808,2024年8月,,109.1,,National/Region,1,109.1
1,指数,1,0001 総合,00000,全国,2024000707,2024年7月,,108.6,,National/Region,1,108.6
1,指数,1,0001 総合,00000,全国,2024000606,2024年6月,,108.2,,National/Region,1,108.2
1,指数,1,0001 総合,00000,全国,2024000505,2024年5月,,108.1,,National/Region,1,108.1
1,指数,1,0001 総合,00000,全国,2024000404,2024年4月,,107.7,,National/Region,1,107.7
1,指数,1,0001 総合,00000,全国,2024000303,2024年3月,,107.2,,National/Region,1,107.2
1,指数,1,0001 総合,00000,全国,2024000202,2024年2月,,106.9,,National/Region,1,106.9
1,指数,1,0001 総合,00000,全国,2024000101,2024年1月,,106.9,,National/Region,1,106.9
1,指数,1,0001 総合,00000,全国,2024000000,2024年,,108.5,,National/Region,1,108.5
1,指数,1,0001 総合,00000,全国,2023100000,2023年度,,106.3,,National/Region,1,106.3
1,指数,1,0001 総合,00000,全国,2023001212,2023年12月,,106.8,,National/Region,1,106.8
1,指数,1,0001 総合,00000,全国,2023001111,2023年11月,,106.9,,National/Region,1,106.9
1,指数,1,0001 総合,00000,全国,2023001010,2023年10月,,107.1,,National/Region,1,107.1
1,指数,1,0001 総合,00000,全国,2023000909,2023年9月,,106.2,,National/Region,1,106.2
1,指数,1,0001 総合,00000,全国,2023000808,2023年8月,,105.9,,National/Region,1,105.9
1,指数,1,0001 総合,00000,全国,2023000707,2023年7月,,105.7,,National/Region,1,105.7
1,指数,1,0001 総合,00000,全国,2023000606,2023年6月,,105.2,,National/Region,1,105.2
1,指数,1,0001 総合,00000,全国,2023000505,2023年5月,,105.1,,National/Region,1,105.1
1,指数,1,0001 総合,00000,全国,2023000404,2023年4月,,105.1,,National/Region,1,105.1
1,指数,1,0001 総合,00000,全国,2023000303,2023年3月,,104.4,,National/Region,1,104.4
1,指数,1,0001 総合,00000,全国,2023000202,2023年2月,,104.0,,National/Region,1,104.0
1,指数,1,0001 総合,00000,全国,2023000101,2023年1月,,104.7,,National/Region,1,104.7
1,指数,1,0001 総合,00000,全国,2023000000,2023年,,105.6,,National/Region,1,105.6
1,指数,1,0001 総合,00000,全国,2022100000,2022年度,,103.2,,National/Region,1,103.2
1,指数,1,0001 総合,00000,全国,2022001212,2022年12月,,104.1,,National/Region,1,104.1
1,指数,1,0001 総合,00000,全国,2022001111,2022年11月,,103.9,,National/Region,1,103.9
1,指数,1,0001 総合,00000,全国,2022001010,2022年10月,,103.7,,National/Region,1,103.7
1,指数,1,0001 総合,00000,全国,2022000909,2022年9月,,103.1,,National/Region,1,103.1
1,指数,1,0001 総合,00000,全国,2022000808,2022年8月,,102.7,,National/Region,1,102.7
1,指数,1,0001 総合,00000,全国,2022000707,2022年7月,,102.3,,National/Region,1,102.3
1,指数,1,0001 総合,00000,全国,2022000606,2022年6月,,101.8,,National/Region,1,101.8
1,指数,1,0001 総合,00000,全国,2022000505,2022年5月,,101.8,,National/Region,1,101.8
1,指数,1,0001 総合,00000,全国,2022000404,2022年4月,,101.5,,National/Region,1,101.5
1,指数,1,0001 総合,00000,全国,2022000303,2022年3月,,101.1,,National/Region,1,101.1
1,指数,1,0001 総合,00000,全国,2022000202,2022年2月,,100.7,,National/Region,1,100.7
1,指数,1,0001 総合,00000,全国,2022000101,2022年1月,,100.3,,National/Region,1,100.3
1,指数,1,0001 総合,00000,全国,2022000000,2022年,,102.3,,National/Region,1,102.3
1,指数,1,0001 総合,00000,全国,2021100000,2021年度,,100.0,,National/Region,1,100.0
