job_code,job_name,year,salary_value
1031,管理的職業従事者,2021000000,50.7
1031,管理的職業従事者,2020000000,50.6
1051,研究者,2021000000,41.3
1051,研究者,2020000000,39.0
1072,電気・電子・電気通信技術者（通信ネットワーク技術者を除く）,2021000000,42.0
1072,電気・電子・電気通信技術者（通信ネットワーク技術者を除く）,2020000000,42.1
1073,機械技術者,2021000000,41.5
1073,機械技術者,2020000000,41.2
1074,輸送用機器技術者,2021000000,40.4
1074,輸送用機器技術者,2020000000,40.8
1076,金属技術者,2021000000,40.7
1076,金属技術者,2020000000,41.1
1077,化学技術者,2021000000,40.2
1077,化学技術者,2020000000,38.6
1091,建築技術者,2021000000,42.6
1091,建築技術者,2020000000,42.1
1092,土木技術者,2021000000,45.4
1092,土木技術者,2020000000,46.7
1093,測量技術者,2021000000,43.1
1093,測量技術者,2020000000,44.2
1101,システムコンサルタント・設計者,2021000000,40.3
1101,システムコンサルタント・設計者,2020000000,39.4
1104,ソフトウェア作成者,2021000000,37.3
1104,ソフトウェア作成者,2020000000,37.4
1109,その他の情報処理・通信技術者,2021000000,41.0
1109,その他の情報処理・通信技術者,2020000000,40.2
1119,他に分類されない技術者,2021000000,42.6
1119,他に分類されない技術者,2020000000,42.9
1121,医師,2021000000,45.3
1121,医師,2020000000,45.5
1122,歯科医師,2021000000,38.7
1122,歯科医師,2020000000,39.6
1123,獣医師,2021000000,36.1
1123,獣医師,2020000000,37.7
1124,薬剤師,2021000000,41.1
1124,薬剤師,2020000000,41.2
1131,保健師,2021000000,41.8
1131,保健師,2020000000,38.4
1132,助産師,2021000000,37.1
1132,助産師,2020000000,40.0
1133,看護師,2021000000,41.2
1133,看護師,2020000000,41.2
1134,准看護師,2021000000,50.4
1134,准看護師,2020000000,50.1
1141,診療放射線技師,2021000000,41.9
1141,診療放射線技師,2020000000,41.4
1143,臨床検査技師,2021000000,41.6
1143,臨床検査技師,2020000000,41.2
1144,理学療法士，作業療法士，言語聴覚士，視能訓練士,2021000000,35.1
1144,理学療法士，作業療法士，言語聴覚士，視能訓練士,2020000000,33.9
1146,歯科衛生士,2021000000,34.9
1146,歯科衛生士,2020000000,35.5
1147,歯科技工士,2021000000,39.4
1147,歯科技工士,2020000000,41.1
1151,栄養士,2021000000,37.4
1151,栄養士,2020000000,36.9
1159,その他の保健医療従事者,2021000000,37.7
1159,その他の保健医療従事者,2020000000,38.1
1163,保育士,2021000000,38.1
1163,保育士,2020000000,37.6
1168,介護支援専門員（ケアマネージャー）,2021000000,50.9
1168,介護支援専門員（ケアマネージャー）,2020000000,49.9
1169,その他の社会福祉専門職業従事者,2021000000,43.4
1169,その他の社会福祉専門職業従事者,2020000000,43.8
1173,法務従事者,2021000000,43.9
1173,法務従事者,2020000000,46.0
1181,公認会計士，税理士,2021000000,44.9
1181,公認会計士，税理士,2020000000,40.3
1189,その他の経営・金融・保険専門職業従事者,2021000000,40.4
1189,その他の経営・金融・保険専門職業従事者,2020000000,37.2
1191,幼稚園教員，保育教諭,2021000000,36.6
1191,幼稚園教員，保育教諭,2020000000,36.3
1192,小・中学校教員,2021000000,42.0
1192,小・中学校教員,2020000000,42.4
1194,高等学校教員,2021000000,43.9
1194,高等学校教員,2020000000,43.9
1196,大学教授（高専含む）,2021000000,58.2
1196,大学教授（高専含む）,2020000000,57.6
1197,大学准教授（高専含む）,2021000000,48.7
1197,大学准教授（高専含む）,2020000000,48.3
1198,大学講師・助教（高専含む）,2021000000,41.9
1198,大学講師・助教（高専含む）,2020000000,41.5
1199,その他の教員,2021000000,45.3
1199,その他の教員,2020000000,44.8
1201,宗教家,2021000000,46.2
1201,宗教家,2020000000,44.2
1211,著述家，記者，編集者,2021000000,41.6
1211,著述家，記者，編集者,2020000000,41.1
1221,美術家，写真家，映像撮影者,2021000000,38.1
1221,美術家，写真家，映像撮影者,2020000000,39.8
1224,デザイナー,2021000000,38.1
1224,デザイナー,2020000000,39.2
1231,音楽家，舞台芸術家,2021000000,38.0
1231,音楽家，舞台芸術家,2020000000,41.1
1244,個人教師,2021000000,38.1
1244,個人教師,2020000000,36.5
1249,他に分類されない専門的職業従事者,2021000000,43.3
1249,他に分類されない専門的職業従事者,2020000000,41.5
1251,庶務・人事事務員,2021000000,44.1
1251,庶務・人事事務員,2020000000,43.7
1253,企画事務員,2021000000,40.7
1253,企画事務員,2020000000,41.2
1254,受付・案内事務員,2021000000,40.2
1254,受付・案内事務員,2020000000,40.0
1255,秘書,2021000000,43.4
1255,秘書,2020000000,43.5
1256,電話応接事務員,2021000000,41.7
1256,電話応接事務員,2020000000,41.8
1257,総合事務員,2021000000,43.2
1257,総合事務員,2020000000,43.3
1259,その他の一般事務従事者,2021000000,42.9
1259,その他の一般事務従事者,2020000000,42.3
1261,会計事務従事者,2021000000,42.8
1261,会計事務従事者,2020000000,42.0
1271,生産関連事務従事者,2021000000,44.4
1271,生産関連事務従事者,2020000000,43.1
1281,営業・販売事務従事者,2021000000,41.4
1281,営業・販売事務従事者,2020000000,41.3
1291,外勤事務従事者,2021000000,50.3
1291,外勤事務従事者,2020000000,54.6
1301,運輸・郵便事務従事者,2021000000,44.9
1301,運輸・郵便事務従事者,2020000000,44.2
1311,事務用機器操作員,2021000000,42.6
1311,事務用機器操作員,2020000000,41.4
1321,販売店員,2021000000,42.1
1321,販売店員,2020000000,41.7
1324,その他の商品販売従事者,2021000000,41.7
1324,その他の商品販売従事者,2020000000,43.4
1331,販売類似職業従事者,2021000000,39.7
1331,販売類似職業従事者,2020000000,38.9
1344,自動車営業職業従事者,2021000000,37.9
1344,自動車営業職業従事者,2020000000,39.4
1345,機械器具・通信・システム営業職業従事者（自動車を除く）,2021000000,41.0
1345,機械器具・通信・システム営業職業従事者（自動車を除く）,2020000000,40.5
1346,金融営業職業従事者,2021000000,36.4
1346,金融営業職業従事者,2020000000,36.1
1347,保険営業職業従事者,2021000000,45.6
1347,保険営業職業従事者,2020000000,45.3
1349,その他の営業職業従事者,2021000000,41.1
1349,その他の営業職業従事者,2020000000,41.3
1361,介護職員（医療・福祉施設等）,2021000000,43.8
1361,介護職員（医療・福祉施設等）,2020000000,43.0
1362,訪問介護従事者,2021000000,46.8
1362,訪問介護従事者,2020000000,49.2
1371,看護助手,2021000000,46.9
1371,看護助手,2020000000,46.8
1379,その他の保健医療サービス職業従事者,2021000000,37.9
1379,その他の保健医療サービス職業従事者,2020000000,36.6
1381,理容・美容師,2021000000,31.7
1381,理容・美容師,2020000000,38.8
1383,美容サービス・浴場従事者（美容師を除く）,2021000000,36.2
1383,美容サービス・浴場従事者（美容師を除く）,2020000000,34.3
1385,クリーニング職，洗張職,2021000000,46.0
1385,クリーニング職，洗張職,2020000000,47.6
1391,飲食物調理従事者,2021000000,44.1
1391,飲食物調理従事者,2020000000,44.1
1403,飲食物給仕従事者,2021000000,39.5
1403,飲食物給仕従事者,2020000000,39.4
1404,航空機客室乗務員,2021000000,32.1
1404,航空機客室乗務員,2020000000,34.3
1405,身の回り世話従事者,2021000000,43.1
1405,身の回り世話従事者,2020000000,41.8
1406,娯楽場等接客員,2021000000,39.2
1406,娯楽場等接客員,2020000000,39.1
1411,居住施設・ビル等管理人,2021000000,53.5
1411,居住施設・ビル等管理人,2020000000,55.8
1421,その他のサービス職業従事者,2021000000,42.3
1421,その他のサービス職業従事者,2020000000,42.2
1453,警備員,2021000000,51.2
1453,警備員,2020000000,50.6
1459,その他の保安職業従事者,2021000000,54.3
1459,その他の保安職業従事者,2020000000,52.1
1461,農林漁業従事者,2021000000,46.6
1461,農林漁業従事者,2020000000,44.5
1491,製銑・製鋼・非鉄金属製錬従事者,2021000000,40.7
1491,製銑・製鋼・非鉄金属製錬従事者,2020000000,41.1
1492,鋳物製造・鍛造従事者,2021000000,40.9
1492,鋳物製造・鍛造従事者,2020000000,41.6
1493,金属工作機械作業従事者,2021000000,41.6
1493,金属工作機械作業従事者,2020000000,41.3
1494,金属プレス従事者,2021000000,41.6
1494,金属プレス従事者,2020000000,42.6
1495,鉄工，製缶従事者,2021000000,42.3
1495,鉄工，製缶従事者,2020000000,42.7
1496,板金従事者,2021000000,42.1
1496,板金従事者,2020000000,42.3
1497,金属彫刻・表面処理従事者,2021000000,42.5
1497,金属彫刻・表面処理従事者,2020000000,41.9
1498,金属溶接・溶断従事者,2021000000,41.4
1498,金属溶接・溶断従事者,2020000000,41.1
